"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3829","Search for different products by name (example #1)","","Tue Jul 22 18:36:19 UTC 2025","passed","Tue Jul 22 18:36:23 UTC 2025","","Product search","",""
"","3247","Search for different products by name (example #3)","","Tue Jul 22 18:36:26 UTC 2025","passed","Tue Jul 22 18:36:29 UTC 2025","","Product search","",""
"","3378","Verify all products and the product detail page","","Tue Jul 22 18:36:35 UTC 2025","passed","Tue Jul 22 18:36:39 UTC 2025","","Product visualization","",""
"","3022","Search for different products by name (example #2)","","Tue Jul 22 18:36:23 UTC 2025","passed","Tue Jul 22 18:36:26 UTC 2025","","Product search","",""
"","2799","The user selects a specific quantity of a product and verifies it in the cart","","Tue Jul 22 18:36:42 UTC 2025","passed","Tue Jul 22 18:36:44 UTC 2025","","Verify product quantity in the cart","",""
"","3902","Attempt to search without sending the 'search_product' parameter","","Tue Jul 22 18:36:47 UTC 2025","passed","Tue Jul 22 18:36:51 UTC 2025","","Product search without passing ""product"" parameter","",""
"","3256","Search for different products by name (example #4)","","Tue Jul 22 18:36:29 UTC 2025","passed","Tue Jul 22 18:36:33 UTC 2025","","Product search","",""
"","4342","The user adds two products to the cart from the products page","","Tue Jul 22 18:36:11 UTC 2025","passed","Tue Jul 22 18:36:16 UTC 2025","","Add products to the cart","",""
