"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2024","Login with missing email","","Tue Jul 22 14:46:14 UTC 2025","passed","Tue Jul 22 14:46:16 UTC 2025","","User Login Scenarios","",""
"","2714","Login with invalid credentials","","Tue Jul 22 14:46:12 UTC 2025","passed","Tue Jul 22 14:46:14 UTC 2025","","User Login Scenarios","",""
"","4795","User logs in with valid credentials","","Tue Jul 22 14:46:07 UTC 2025","passed","Tue Jul 22 14:46:12 UTC 2025","","User Login Scenarios","",""
