"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3199","Attempt to search without sending the 'search_product' parameter","","Tue Jul 22 14:25:08 UTC 2025","passed","Tue Jul 22 14:25:11 UTC 2025","","Product search without passing ""product"" parameter","",""
"","2803","Verify all products and the product detail page","","Tue Jul 22 14:24:56 UTC 2025","passed","Tue Jul 22 14:24:59 UTC 2025","","Product visualization","",""
"","2515","Search for different products by name (example #2)","","Tue Jul 22 14:24:45 UTC 2025","passed","Tue Jul 22 14:24:48 UTC 2025","","Product search","",""
"","3457","Search for different products by name (example #1)","","Tue Jul 22 14:24:42 UTC 2025","passed","Tue Jul 22 14:24:45 UTC 2025","","Product search","",""
"","2492","Search for different products by name (example #4)","","Tue Jul 22 14:24:51 UTC 2025","passed","Tue Jul 22 14:24:53 UTC 2025","","Product search","",""
"","3777","The user adds two products to the cart from the products page","","Tue Jul 22 14:24:35 UTC 2025","passed","Tue Jul 22 14:24:38 UTC 2025","","Add products to the cart","",""
"","2552","The user selects a specific quantity of a product and verifies it in the cart","","Tue Jul 22 14:25:02 UTC 2025","passed","Tue Jul 22 14:25:05 UTC 2025","","Verify product quantity in the cart","",""
"","2865","Search for different products by name (example #3)","","Tue Jul 22 14:24:48 UTC 2025","passed","Tue Jul 22 14:24:51 UTC 2025","","Product search","",""
