"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2400","Login with missing email","","Fri Jul 18 16:31:03 UTC 2025","passed","Fri Jul 18 16:31:06 UTC 2025","","User Login Scenarios","",""
"","4529","User logs in with valid credentials","","Fri Jul 18 16:30:56 UTC 2025","passed","Fri Jul 18 16:31:00 UTC 2025","","User Login Scenarios","",""
"","2814","Login with invalid credentials","","Fri Jul 18 16:31:01 UTC 2025","passed","Fri Jul 18 16:31:03 UTC 2025","","User Login Scenarios","",""
