"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5019","User logs in with valid credentials","","Tue Jul 22 23:50:51 UTC 2025","passed","Tue Jul 22 23:50:56 UTC 2025","","User Login Scenarios","",""
"","3376","Login with invalid credentials","","Tue Jul 22 23:50:56 UTC 2025","passed","Tue Jul 22 23:50:59 UTC 2025","","User Login Scenarios","",""
"","2345","Login with missing email","","Tue Jul 22 23:51:00 UTC 2025","passed","Tue Jul 22 23:51:02 UTC 2025","","User Login Scenarios","",""
