"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4587","User logs in with valid credentials","","Fri Jul 18 21:56:49 UTC 2025","passed","Fri Jul 18 21:56:54 UTC 2025","","User Login Scenarios","",""
"","2608","Login with invalid credentials","","Fri Jul 18 21:56:54 UTC 2025","passed","Fri Jul 18 21:56:56 UTC 2025","","User Login Scenarios","",""
"","1771","Login with missing email","","Fri Jul 18 21:56:56 UTC 2025","passed","Fri Jul 18 21:56:58 UTC 2025","","User Login Scenarios","",""
