"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3669","Login with missing email","","Wed Jul 23 00:27:23 UTC 2025","passed","Wed Jul 23 00:27:26 UTC 2025","","User Login Scenarios","",""
"","4380","User logs in with valid credentials","","Wed Jul 23 00:27:15 UTC 2025","passed","Wed Jul 23 00:27:20 UTC 2025","","User Login Scenarios","",""
"","2802","Login with invalid credentials","","Wed Jul 23 00:27:20 UTC 2025","passed","Wed Jul 23 00:27:23 UTC 2025","","User Login Scenarios","",""
