"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2915","Attempt to search without sending the 'search_product' parameter","","Fri Jul 18 02:50:54 UTC 2025","passed","Fri Jul 18 02:50:57 UTC 2025","","Product search without passing ""product"" parameter","",""
"","3034","Search for different products by name (example #1)","","Fri Jul 18 02:50:30 UTC 2025","passed","Fri Jul 18 02:50:33 UTC 2025","","Product search","",""
"","2556","Search for different products by name (example #4)","","Fri Jul 18 02:50:38 UTC 2025","passed","Fri Jul 18 02:50:41 UTC 2025","","Product search","",""
"","2631","Search for different products by name (example #3)","","Fri Jul 18 02:50:35 UTC 2025","passed","Fri Jul 18 02:50:38 UTC 2025","","Product search","",""
"","2372","Verify all products and the product detail page","","Fri Jul 18 02:50:43 UTC 2025","passed","Fri Jul 18 02:50:46 UTC 2025","","Product visualization","",""
"","2391","The user selects a specific quantity of a product and verifies it in the cart","","Fri Jul 18 02:50:48 UTC 2025","passed","Fri Jul 18 02:50:51 UTC 2025","","Verify product quantity in the cart","",""
"","3473","The user adds two products to the cart from the products page","","Fri Jul 18 02:50:23 UTC 2025","passed","Fri Jul 18 02:50:27 UTC 2025","","Add products to the cart","",""
"","2547","Search for different products by name (example #2)","","Fri Jul 18 02:50:33 UTC 2025","passed","Fri Jul 18 02:50:35 UTC 2025","","Product search","",""
