"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1768","Verify Test Cases Page","","Wed Jul 23 01:27:55 UTC 2025","passed","Wed Jul 23 01:27:57 UTC 2025","","Navigation and Subscription Suite","",""
"","10765","Search Products and Verify Cart After Login","","Wed Jul 23 01:28:38 UTC 2025","passed","Wed Jul 23 01:28:49 UTC 2025","","Products and Cart Suite","",""
"","2057","Login User with out email parameter + API","","Wed Jul 23 01:26:27 UTC 2025","passed","Wed Jul 23 01:26:29 UTC 2025","","Authentication Suite","",""
"","4757","Verify All Products and product detail page","","Wed Jul 23 01:28:21 UTC 2025","passed","Wed Jul 23 01:28:26 UTC 2025","","Products and Cart Suite","",""
"","3574","Verify Subscription in home page","","Wed Jul 23 01:27:57 UTC 2025","passed","Wed Jul 23 01:28:01 UTC 2025","","Navigation and Subscription Suite","",""
"","4002","Add review on product","","Wed Jul 23 01:27:49 UTC 2025","passed","Wed Jul 23 01:27:53 UTC 2025","","Product Exploration Suite","",""
"","15059","Place Order: Register before Checkout","","Wed Jul 23 01:26:51 UTC 2025","passed","Wed Jul 23 01:27:06 UTC 2025","","Checkout and Order Suite","",""
"","2876","View Category Products","","Wed Jul 23 01:27:43 UTC 2025","passed","Wed Jul 23 01:27:46 UTC 2025","","Product Exploration Suite","",""
"","16825","Place Order: Register while Checkout","","Wed Jul 23 01:26:34 UTC 2025","passed","Wed Jul 23 01:26:51 UTC 2025","","Checkout and Order Suite","",""
"","2719","Remove Products From Cart","","Wed Jul 23 01:28:36 UTC 2025","passed","Wed Jul 23 01:28:38 UTC 2025","","Products and Cart Suite","",""
"","10049","Place Order: Login before Checkout","","Wed Jul 23 01:27:06 UTC 2025","passed","Wed Jul 23 01:27:16 UTC 2025","","Checkout and Order Suite","",""
"","3511","Login User with correct email and password","","Wed Jul 23 01:26:17 UTC 2025","passed","Wed Jul 23 01:26:20 UTC 2025","","Authentication Suite","",""
"","3622","Search Product","","Wed Jul 23 01:28:26 UTC 2025","passed","Wed Jul 23 01:28:30 UTC 2025","","Products and Cart Suite","",""
"","2527","Add Products in Cart","","Wed Jul 23 01:28:30 UTC 2025","passed","Wed Jul 23 01:28:32 UTC 2025","","Products and Cart Suite","",""
"","3178","View & Cart Brand Products","","Wed Jul 23 01:27:46 UTC 2025","passed","Wed Jul 23 01:27:49 UTC 2025","","Product Exploration Suite","",""
"","6036","Verify Subscription in Cart page","","Wed Jul 23 01:28:13 UTC 2025","failed","Wed Jul 23 01:28:19 UTC 2025","","Navigation and Subscription Suite","",""
"","3893","Logout User","","Wed Jul 23 01:26:23 UTC 2025","passed","Wed Jul 23 01:26:27 UTC 2025","","Authentication Suite","",""
"","2207","created the user, using Api and deleted it ","","Wed Jul 23 01:26:29 UTC 2025","passed","Wed Jul 23 01:26:31 UTC 2025","","Authentication Suite","",""
"","10416","Register User","","Wed Jul 23 01:26:06 UTC 2025","passed","Wed Jul 23 01:26:16 UTC 2025","","Authentication Suite","",""
"","10704","Contact Us Form + API","","Wed Jul 23 01:27:30 UTC 2025","passed","Wed Jul 23 01:27:40 UTC 2025","","Contact Form Suite","",""
"","2932","Login User with incorrect email and password + API","","Wed Jul 23 01:26:20 UTC 2025","passed","Wed Jul 23 01:26:23 UTC 2025","","Authentication Suite","",""
"","3091","Verify Product quantity in Cart","","Wed Jul 23 01:28:32 UTC 2025","passed","Wed Jul 23 01:28:36 UTC 2025","","Products and Cart Suite","",""
"","4119","Add to cart from Recommended items","","Wed Jul 23 01:28:49 UTC 2025","passed","Wed Jul 23 01:28:53 UTC 2025","","Products and Cart Suite","",""
"","10963","Test Case 23: Verify address details in checkout page","","Wed Jul 23 01:27:16 UTC 2025","passed","Wed Jul 23 01:27:27 UTC 2025","","Checkout and Order Suite","",""
