"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3804","Login with invalid credentials","","Wed Jul 23 01:00:07 UTC 2025","passed","Wed Jul 23 01:00:11 UTC 2025","","User Login Scenarios","",""
"","7319","User logs in with valid credentials","","Wed Jul 23 00:59:59 UTC 2025","passed","Wed Jul 23 01:00:07 UTC 2025","","User Login Scenarios","",""
"","2401","Login with missing email","","Wed Jul 23 01:00:11 UTC 2025","passed","Wed Jul 23 01:00:13 UTC 2025","","User Login Scenarios","",""
